;Quận;Phường;Loại hình nhà ở;Giấy tờ pháp lý;Số tầng;Phòng Khách;Car room;Số phòng ngủ;WC;Diện tích; Dài ;    Rộng    ;Giá/m2;;;Quận Ba Đình;;Quận;;;
72242;12;4;3;1;5;1;1;6;3;54;12;3,27;75;;;;;;;;
80010;9;5;2;1;5;1;1;4;3;50;10;3,66;144;;;;;;;;
72245;1;6;3;4;1;1;0;3;1;33;10;3,7;106;;;;;;;;
72246;11;9;3;4;2;1;0;3;4;36;12;3,78;50;;;;;;;;
72249;10;5;3;4;6;2;0;4;5;38;11;35;53;;;;;;;;
80054;5;8;2;4;6;1;1;4;6;50;5;10;96;;;;;;;;
72252;9;6;3;4;1;1;0;3;1;31;21,7;3,79;88;;;;;;;;
80147;14;1;2;4;3;1;0;5;4;150;30;5;20;;;;;;;;
72258;5;8;3;4;2;1;0;3;2;39;10;3,88;106;;;;;;;;
72261;7;2;3;1;1;1;0;3;1;34;7;3,95;91;;;;;;;;
72263;7;18;3;1;2;1;0;3;4;34;7;3,71;104;;;;;;;;
72265;6;2;3;1;3;1;0;3;3;25;8;3,71;98;;;;;;;;
72267;7;18;3;1;4;1;0;4;4;35;7;3,8;92;;;;;;;;
80225;5;1;2;1;5;1;0;4;4;45;9;3;171;;;;;;;;
72269;7;17;3;4;5;1;1;4;5;50;11;3,44;62;;;;;;;;
80382;9;3;2;1;4;1;1;4;2;41;7,59;5,4;163;;;;;;;;
72271;6;8;3;1;5;1;0;4;5;40;8;2,97;97;;;;;;;;
72272;1;7;3;1;1;1;0;1;1;20;10;2,92;39;;;;;;;;
72275;3;1;3;4;6;2;0;4;5;50;12;3,58;96;;;;;;;;
72278;10;6;3;1;4;1;0;3;4;34;13,41;3,95;67;;;;;;;;
72279;10;6;3;1;4;1;0;3;4;36;28,54;3,25;75;;;;;;;;
80476;3;6;2;1;3;1;0;4;3;40;15,29;2,6;292;;;;;;;;
72281;10;4;4;1;1;1;0;1;1;40;10;3,56;102;;;;;;;;
80512;23;1;2;4;6;1;0;4;6;43;7;3,6;69;;;;;;;;
80662;10;2;2;1;4;1;0;4;3;50;10;3,96;80;;;;;;;;
80733;11;7;2;1;1;1;1;1;1;108;21;5;83;;;;;;;;
72292;28;9;3;1;4;1;0;4;3;33;11;2,96;63;;;;;;;;
72293;28;8;3;4;4;1;0;4;3;40;13,33;3,03;57;;;;;;;;
72294;7;3;3;1;3;1;0;3;3;59;8,43;7;76;;;;;;;;
72296;12;4;3;1;5;1;0;3;5;40;10;2,91;100;;;;;;;;
72297;9;7;4;1;5;2;0;6;3;39;16,63;3,65;135;;;;;;;;
80794;10;7;2;1;5;2;1;6;5;50;10;3,81;80;;;;;;;;
80954;8;1;2;1;5;2;1;4;3;80;16;5;72;;;;;;;;
72302;7;19;3;1;4;1;0;3;4;20;5;3,15;100;;;;;;;;
81013;10;1;2;1;4;1;1;4;2;50;10;3,86;70;;;;;;;;
81025;4;7;2;3;3;1;1;4;4;40;11;3,48;150;;;;;;;;
81101;1;11;2;1;1;1;1;1;1;115;23;5;42;;;;;;;;
72306;8;2;3;1;5;1;0;3;5;35;10;2,26;81;;;;;;;;
72307;7;2;3;1;5;2;1;10;3;69;12,55;5,5;123;;;;;;;;
72311;5;2;3;1;4;1;0;4;2;60;12;5;122;;;;;;;;
72313;8;13;3;1;5;1;0;3;5;42;26,92;3,86;64;;;;;;;;
72314;8;5;3;1;5;1;0;4;3;40;11;3,94;70;;;;;;;;
81129;8;3;2;4;5;2;0;4;4;30;30;25;113;;;;;;;;
72319;1;3;3;1;4;1;0;4;3;54;18,21;3,63;87;;;;;;;;
72322;3;7;3;1;4;1;0;4;3;35;8;3,46;85;;;;;;;;
72323;4;7;3;1;5;2;1;6;3;66;14;5;109;;;;;;;;
81287;9;11;2;1;5;2;1;4;3;40;10;3,51;150;;;;;;;;
72326;8;13;3;1;1;1;0;2;1;39;9,75;3,4;35;;;;;;;;
72327;6;1;3;4;1;1;0;3;1;22;7;2,47;90;;;;;;;;
72328;6;17;3;1;4;1;0;4;2;33;9;3,79;118;;;;;;;;
72331;1;1;3;1;4;1;0;4;2;36;10;3,52;81;;;;;;;;
72332;2;9;3;1;4;1;0;4;2;40;10;3,02;107;;;;;;;;
81382;10;12;2;1;5;1;0;5;3;45;10;3,74;187;;;;;;;;
72336;4;8;3;1;4;1;0;3;2;45;3,91;11,5;47;;;;;;;;
72337;12;4;3;1;5;1;0;4;5;45;11;3,4;86;;;;;;;;
81406;8;5;2;1;4;1;0;4;3;44;14,67;3,26;143;;;;;;;;
72343;7;3;3;1;2;1;0;3;4;20;8,7;3,52;92;;;;;;;;
72344;9;3;3;1;4;1;0;6;4;40;24,72;3,37;80;;;;;;;;
72345;12;3;3;1;4;1;0;5;2;40;5;12;98;;;;;;;;
72348;6;21;3;1;6;2;1;5;5;50;11;3,34;256;;;;;;;;
72351;9;3;3;1;6;2;1;5;4;50;5;10;62;;;;;;;;
72353;11;7;3;4;1;1;1;1;1;70;15,56;2,66;41;;;;;;;;
72357;1;1;3;4;5;1;1;4;3;46;14;3,66;93;;;;;;;;
81416;9;9;2;1;5;2;1;5;5;45;11,25;2,58;72;;;;;;;;
72361;1;1;3;1;4;1;1;4;2;50;4,4;11;90;;;;;;;;
72363;10;14;3;1;3;1;1;3;3;102;19;5;61;;;;;;;;
72364;5;8;3;4;1;1;0;3;1;39;10,5;3,75;106;;;;;;;;
72369;8;2;3;4;4;1;0;4;2;37;20,92;3,02;93;;;;;;;;
81546;8;8;2;1;2;1;0;3;4;45;11;3,47;83;;;;;;;;
72376;5;5;3;4;3;1;0;6;3;42;20,05;3,56;125;;;;;;;;
72377;5;3;3;1;3;1;1;5;4;137;14;9;58;;;;;;;;
72379;6;2;3;4;2;1;0;3;2;34;8;3,37;97;;;;;;;;
72381;4;6;3;1;3;1;0;2;3;35;5;7;80;;;;;;;;
72386;6;6;3;1;4;1;0;5;4;40;5,71;7;125;;;;;;;;
72387;5;4;3;1;5;1;0;6;3;49;12;2,71;95;;;;;;;;
72388;7;3;3;1;1;1;0;3;1;32;8;3,5;103;;;;;;;;
72393;6;14;3;4;3;1;0;4;3;28;5;7;96;;;;;;;;
72401;6;15;3;1;3;1;0;2;2;35;17,93;3,75;91;;;;;;;;
72402;28;11;3;4;3;1;0;4;3;50;10;5;49;;;;;;;;
72404;12;5;3;1;3;1;1;4;4;48;14;3,6;103;;;;;;;;
72405;19;9;4;1;3;1;0;2;3;38;30;15;42;;;;;;;;
72406;9;3;3;4;1;1;0;3;1;33;11;2,27;93;;;;;;;;
72409;9;5;3;4;3;1;0;4;4;44;22,43;3,53;72;;;;;;;;
72410;4;14;3;1;1;1;0;3;1;30;13,57;3,88;65;;;;;;;;
72415;4;12;3;1;4;1;0;5;3;42;11;3,3;65;;;;;;;;
72418;9;6;3;1;1;1;0;3;1;30;15;35;75;;;;;;;;
72421;1;1;3;1;5;1;0;3;3;28;7;3,66;121;;;;;;;;
81566;10;13;2;4;4;1;0;4;2;40;18,58;3,69;135;;;;;;;;
72425;7;20;3;4;3;1;0;4;4;50;17,88;2,73;65;;;;;;;;
81623;8;3;2;4;2;1;1;2;4;62;21,99;3,42;72;;;;;;;;
81641;10;13;2;4;6;1;0;4;5;46;12,2;3,7;94;;;;;;;;
72434;6;17;3;1;4;1;0;4;4;40;15,29;3,68;165;;;;;;;;
72435;8;11;3;1;5;1;0;4;3;34;6;3,7;105;;;;;;;;
72436;9;6;3;4;3;1;0;5;4;32;8;3,72;112;;;;;;;;
72438;5;8;3;1;5;1;0;4;4;40;6,67;6;102;;;;;;;;
72439;7;6;3;1;5;2;0;6;4;45;12,5;2,31;87;;;;;;;;
72442;10;12;3;4;5;1;0;4;3;55;11;5;69;;;;;;;;
72443;8;1;3;1;5;2;0;4;4;41;10;3,48;85;;;;;;;;
72444;8;4;3;1;4;1;0;4;4;37;27,77;3,44;72;;;;;;;;
72445;10;7;4;1;4;1;0;3;3;35;22,42;3,45;101;;;;;;;;
72446;5;8;3;4;4;1;0;4;4;40;10;3,53;100;;;;;;;;
81645;9;5;2;1;4;1;0;4;2;81;16;5;88;;;;;;;;
72448;8;1;3;1;4;1;0;4;3;40;10;3,75;87;;;;;;;;
72450;6;13;3;4;1;1;0;3;1;35;20,49;3,67;82;;;;;;;;
81741;10;6;2;1;4;1;1;3;3;34;6;5,5;76;;;;;;;;
72453;11;12;3;1;5;1;0;3;3;33;9;4;78;;;;;;;;
81794;10;7;2;1;4;1;1;6;2;54;14;3,19;175;;;;;;;;
72459;12;5;3;1;5;1;0;6;5;45;11,25;3,98;71;;;;;;;;
72460;1;1;3;1;5;1;0;6;5;45;22,59;3,98;100;;;;;;;;
81836;7;3;2;1;5;2;1;4;3;39;10;3,41;82;;;;;;;;
72462;8;9;3;4;1;1;0;3;1;62;37,08;3,25;119;;;;;;;;
81999;4;12;2;1;5;2;0;5;5;62;12;3,18;85;;;;;;;;
72466;9;6;3;1;5;1;0;5;3;34;7;3,53;79;;;;;;;;
72470;4;3;3;4;2;1;0;3;3;32;8;2,59;67;;;;;;;;
82037;3;1;2;1;5;1;1;4;5;50;26,57;3,66;260;;;;;;;;
23;3;7;2;4;6;2;0;4;4;79;9,88;8;112;;2;Phường Đại Mỗ;;18;Huyện Gia Lâm;;
72473;11;1;4;1;5;2;0;4;3;35;10;3,81;87;;;;;;;;
72478;10;7;3;1;4;1;0;4;3;45;17;3,93;91;;;;;;;;
72481;8;11;3;4;4;1;0;4;3;35;13,96;3,51;68;;;;;;;;
72484;7;19;3;4;2;1;0;3;2;44;35,84;3,48;79;;;;;;;;
91;8;8;2;1;3;1;0;4;4;38;9,5;3,21;131;;;Long Biên;;;;;
72486;8;2;3;1;5;2;0;3;5;35;15,94;3,17;82;;;;;;;;
122;4;3;2;1;3;1;1;4;2;196;32,67;6;80;;2;phường Cổ Nhuế 2;;;;;
642;6;9;2;1;2;1;1;3;4;30;6;3,77;71;;7;xã Quang Tiến;;;;;
72490;1;3;3;4;2;1;0;3;3;20;7;3,39;105;;;;;;;;
72491;5;3;3;1;5;1;0;4;5;35;9;2,5;80;;;;;;;;
72492;10;10;3;1;4;1;0;4;2;35;8;3,76;49;;;;;;;;
72493;7;20;3;4;2;1;1;3;4;52;20,85;3,44;119;;;;;;;;
72495;6;13;3;1;4;1;0;3;3;25;14,39;3,98;142;;;;;;;;
72501;9;3;3;1;4;1;0;5;4;40;10;3,97;76;;;;;;;;
72502;8;8;3;4;2;1;0;2;2;22;9,57;3,24;90;;;;;;;;
72504;8;5;3;1;3;1;0;2;2;27;8;3,58;75;;;;;;;;
72505;12;7;3;4;2;1;0;3;3;30;10;3,51;59;;;;;;;;
72506;5;8;3;1;1;1;0;3;1;55;15;3,82;76;;;;;;;;
72507;12;4;1;1;4;1;2;6;2;60;10;6;138;;;;;;;;
72510;6;2;3;1;5;1;0;4;4;28;7;3,41;110;;;;;;;;
72511;5;6;3;1;5;1;0;4;3;33;18,6;3,42;96;;;;;;;;
72512;9;8;3;1;5;1;0;3;3;40;10;3,21;71;;;;;;;;
72514;8;1;3;4;2;1;0;3;2;45;10;43;77;;;;;;;;
72517;1;14;3;1;6;1;1;5;6;60;12;5;158;;;;;;;;
72519;6;13;3;4;1;1;0;3;1;35;24,56;2,47;82;;;;;;;;
72520;6;19;3;1;5;2;0;4;3;42;7;6;94;;;;;;;;
72526;8;5;3;4;6;2;1;4;5;46;11;3,51;121;;;;;;;;
72530;6;13;3;1;4;1;0;3;2;25;8;2,71;140;;;;;;;;
72532;6;15;3;1;5;2;1;4;3;65;13;3,64;72;;;;;;;;
811;10;4;2;4;6;2;0;4;5;40;10;3,43;62;;;;;;;;
72535;10;16;4;1;7;2;0;5;7;51;17,37;3,96;107;;;;;;;;
72539;8;6;3;4;6;1;0;4;5;30;5;6;70;;;;;;;;
72540;6;14;3;1;3;1;0;3;4;21;5;3,49;75;;;;;;;;
72542;19;12;3;4;2;1;0;3;4;32;10;32;60;;;;;;;;
72543;6;13;3;1;4;1;0;3;3;25;23,98;2,35;140;;;;;;;;
72547;10;6;3;1;1;1;0;3;1;41;11;3,57;53;;;;;;;;
72548;8;1;3;1;5;2;0;4;4;39;23,59;3,82;82;;;;;;;;
72549;12;1;3;1;5;2;0;4;3;45;9;5;86;;;;;;;;
72550;10;6;3;4;1;1;1;2;1;73;19;2,59;65;;;;;;;;
72551;1;6;3;1;5;1;0;4;4;36;12,84;3,31;150;;;;;;;;
72555;1;1;3;1;1;1;1;1;1;50;8,33;6;74;;;;;;;;
826;6;1;2;1;5;1;1;4;5;50;19,73;3,6;200;;;;;;;;
72557;6;21;3;1;7;2;0;6;5;20;6,94;3,96;115;;;;;;;;
72558;18;4;3;4;6;1;0;4;6;89;12,7;7;16;;;;;;;;
935;9;7;2;1;4;1;0;2;3;57;26,31;3,69;61;;;;;;;;
72560;8;13;3;1;6;1;0;5;5;42;10;2,79;78;;;;;;;;
72561;9;5;3;1;5;2;0;3;3;30;18,4;3,09;89;;;;;;;;
72563;4;4;3;1;4;1;1;4;4;89;11;8;58;;;;;;;;
72566;9;2;3;1;5;2;0;3;3;32;8;3,73;90;;;;;;;;
72567;7;17;3;1;5;2;0;4;4;49;21,6;2,79;163;;;;;;;;
72569;4;13;3;1;1;1;0;1;1;30;10;2,97;51;;;;;;;;
1248;9;9;2;1;6;2;0;4;5;35;9;2,19;65;;;;;;;;
72577;8;3;3;4;3;1;0;4;4;35;10;3,34;91;;;;;;;;
72578;4;1;3;1;6;1;1;4;5;52;13;4;115;;;;;;;;
72582;6;1;3;1;5;1;0;4;3;23;15,07;2,96;97;;;;;;;;
72590;17;1;3;1;2;1;0;2;4;43;11;3,18;39;;;;;;;;
72591;6;15;3;1;5;2;0;3;3;30;11,2;3,54;193;;;;;;;;
1325;8;13;2;1;4;1;1;2;2;45;15,4;3,5;100;;;;;;;;
72595;7;20;3;1;3;1;0;3;2;40;27,15;3,58;46;;;;;;;;
72597;1;5;3;1;4;1;0;4;2;50;8,33;6;102;;;;;;;;
1337;10;5;2;4;4;1;1;4;2;38;6,03;6,3;89;;;;;;;;
72607;7;3;3;1;5;2;0;4;5;27;14,84;2,38;100;;;;;;;;
72610;9;5;3;1;5;2;0;4;3;45;10;2,73;91;;;;;;;;
72612;7;2;3;1;2;1;0;3;2;40;10;3,6;73;;;;;;;;
72616;8;3;3;1;4;1;0;4;4;40;14,07;3,88;72;;;;;;;;
1563;8;3;2;1;9;2;0;10;7;100;10;10;120;;;;;;;;
72622;3;1;3;1;1;1;0;3;1;30;10;3,1;133;;;;;;;;
72626;6;2;3;4;1;1;1;1;1;92;6,57;14;85;;;;;;;;
1754;7;19;2;1;5;2;1;2;3;30;5;5,8;95;;;;;;;;
1919;11;5;2;1;3;1;0;3;3;51;13;45;43;;;;;;;;
72631;6;17;3;1;4;1;0;2;3;15;3;2,96;140;;;;;;;;
72632;7;18;3;1;4;1;0;4;3;42;15;3,13;82;;;;;;;;
72633;8;11;3;1;4;1;0;3;4;35;25,23;3,87;72;;;;;;;;
72634;5;5;3;4;2;1;0;3;3;56;9;6;62;;;;;;;;
72635;7;3;3;1;4;1;0;6;3;38;17,62;3,76;110;;;;;;;;
72636;9;8;3;1;3;1;0;4;4;57;16;3,5;105;;;;;;;;
72637;8;10;3;4;2;1;0;2;3;30;22,79;3,69;72;;;;;;;;
2247;1;14;2;1;4;1;1;4;4;45;6,72;6,7;355;;;;;;;;
72640;4;13;3;1;4;1;0;4;4;76;17;5;47;;;;;;;;
72644;5;8;3;1;5;1;0;4;4;45;7,5;6;131;;;;;;;;
2340;1;5;2;1;6;1;0;3;4;30;13,98;2,49;33;;;;;;;;
72646;10;11;3;4;4;1;0;4;3;45;18;3,05;60;;;;;;;;
72647;10;13;3;1;4;1;0;3;4;40;6,67;6;80;;;;;;;;
2367;9;8;2;1;5;1;1;4;4;41;15,84;3,83;173;;;;;;;;
72654;10;5;3;1;4;1;0;4;3;34;29,41;3,81;63;;;;;;;;
2529;3;2;2;1;3;1;1;4;4;95;17,59;5,4;84;;;;;;;;
72657;8;9;3;4;4;1;0;4;4;58;10;3,11;62;;;;;;;;
2576;7;18;2;1;4;1;0;3;4;52;14;3,64;125;;;;;;;;
2633;10;14;2;1;5;1;0;5;3;45;11;3,63;102;;;;;;;;
72664;10;5;3;1;1;1;0;2;1;35;18,09;3,54;46;;;;;;;;
72666;1;5;3;1;5;1;0;3;4;30;10,24;3,89;96;;;;;;;;
72668;7;3;3;1;2;1;0;3;3;20;7;2,59;100;;;;;;;;
72670;6;2;3;1;5;1;0;3;4;26;6;3,88;109;;;;;;;;
72671;7;3;3;1;5;2;0;3;3;32;14,8;2,58;101;;;;;;;;
72674;9;6;3;1;6;1;0;6;5;39;9,7;3,63;106;;;;;;;;
72678;9;3;3;1;5;1;0;3;3;35;5,5;6;76;;;;;;;;
72679;5;4;3;1;5;1;0;6;3;46;25,67;3,59;102;;;;;;;;
72683;9;6;3;1;5;2;0;6;3;35;9,7;2,35;117;;;;;;;;
72684;28;10;4;1;1;1;0;3;1;45;4,5;10;117;;;;;;;;
72685;6;1;3;4;4;1;0;4;3;56;6,22;9;158;;;;;;;;
72686;3;7;3;1;5;2;0;3;4;30;10;3,54;126;;;;;;;;
2671;11;1;2;4;5;1;1;4;5;52;11,56;3,93;56;;;;;;;;
72688;5;3;3;1;5;2;0;7;3;40;9;5,5;95;;;;;;;;
72695;12;7;3;1;4;1;0;3;4;30;6;2,61;80;;;;;;;;
72696;10;14;3;1;3;1;0;3;3;46;11;3,73;60;;;;;;;;
72698;3;2;3;1;5;1;0;4;5;36;13,76;3,57;183;;;;;;;;
72699;2;15;3;4;1;1;1;3;1;55;10;3,78;58;;;;;;;;
72701;8;1;3;1;5;2;0;5;4;35;8;3,81;82;;;;;;;;
72705;10;14;3;1;4;1;0;3;2;39;18,62;3,05;101;;;;;;;;
72706;10;15;3;1;2;1;0;3;4;30;8;3,23;78;;;;;;;;
72707;4;4;1;1;3;1;1;5;4;125;15,63;8;52;;;;;;;;
72709;7;18;4;1;5;2;0;4;4;52;10;3,37;169;;;;;;;;
72716;6;19;3;1;5;1;0;5;3;25;9;3,21;78;;;;;;;;
72717;12;2;3;1;5;1;0;4;3;38;9,27;3,18;82;;;;;;;;
2679;3;1;2;4;6;1;0;4;4;65;13;5;158;;;;;;;;
72719;10;7;3;4;5;1;0;6;4;100;7,14;14;65;;;;;;;;
72720;10;7;3;1;5;1;0;6;5;45;37,85;3,36;80;;;;;;;;
2701;10;13;2;4;6;1;1;4;5;40;21,61;3,7;135;;;;;;;;
72723;8;13;3;1;5;2;0;3;4;39;9;3,53;61;;;;;;;;
72724;8;2;3;1;5;1;0;3;4;33;17,5;3,21;87;;;;;;;;
2728;12;4;2;1;6;1;1;10;6;65;11;7;107;;;;;;;;
72728;4;6;3;1;3;1;0;4;4;40;9;2,35;68;;;;;;;;
72733;4;6;3;4;2;1;0;1;4;33;5;6;48;;;;;;;;
72735;11;1;3;1;6;1;1;5;4;60;15;3,81;95;;;;;;;;
72738;3;7;3;1;8;2;0;10;6;210;26;8;171;;;;;;;;
72739;4;14;3;4;4;1;1;4;2;75;40,1;3,41;45;;;;;;;;
72742;9;3;3;1;5;2;0;4;5;50;12;3,99;100;;;;;;;;
2744;9;3;2;1;4;1;0;6;2;35;10;2,9;79;;;;;;;;
72746;17;2;3;1;1;1;1;2;1;72;14;5;23;;;;;;;;
72748;6;9;3;1;5;1;0;4;5;40;15,74;3,76;95;;;;;;;;
72749;7;6;3;4;1;1;0;3;1;30;8,5;2,47;71;;;;;;;;
72750;10;14;4;2;6;1;0;4;6;82;14,39;5,7;96;;;;;;;;
72754;9;3;3;1;2;1;0;3;3;33;11;3,79;90;;;;;;;;
72755;8;8;3;1;4;1;0;4;2;38;13,62;3,88;78;;;;;;;;
72756;11;12;3;1;4;1;0;3;2;36;9;3,34;65;;;;;;;;
72757;10;5;4;1;4;1;1;4;3;50;10;3,36;84;;;;;;;;
72758;28;14;3;1;6;1;1;8;6;62;10;6;57;;;;;;;;
72759;4;12;3;1;2;1;0;2;4;37;10;3,16;43;;;;;;;;
72760;10;15;3;1;3;1;0;5;3;37;9;3,25;94;;;;;;;;
72761;28;6;3;1;3;1;0;4;3;36;10;36;70;;;;;;;;
72766;3;5;3;4;1;1;0;3;1;40;10;3,98;95;;;;;;;;
2750;5;4;2;1;5;2;1;4;4;42;8,4;3,51;104;;;;;;;;
72770;9;2;3;1;4;1;0;4;3;36;7;3,62;70;;;;;;;;
2760;10;4;2;1;2;1;0;2;4;37;9;3,66;42;;;;;;;;
72773;12;3;3;1;5;1;0;3;3;32;8;3,94;84;;;;;;;;
72774;4;1;3;1;4;1;0;4;2;50;24,86;3,41;120;;;;;;;;
72777;7;19;3;4;4;1;0;5;3;43;16,19;3,21;90;;;;;;;;
2789;6;10;2;1;1;1;1;1;1;35;17,99;3,86;64;;;;;;;;
72780;8;11;3;4;4;1;0;4;4;30;15,17;3,55;88;;;;;;;;
72781;7;18;3;1;5;1;1;5;5;55;9;6;161;;;;;;;;
72783;5;4;1;1;6;1;2;6;4;83;11;8;96;;;;;;;;
72786;9;2;3;1;5;1;0;6;4;36;7;3,68;68;;;;;;;;
72787;6;6;3;4;1;1;0;3;1;30;8;3,14;183;;;;;;;;
72788;8;5;3;4;5;2;0;4;3;65;30,71;3,34;56;;;;;;;;
2847;7;8;2;4;4;1;0;4;2;56;9,33;6;160;;;;;;;;
72790;7;6;3;4;6;1;0;4;4;76;11;6;56;;;;;;;;
3616;9;1;2;1;9;2;1;9;7;210;26,25;8;185;;;;;;;;
72794;5;4;3;1;2;1;0;3;2;31;10;31;87;;;;;;;;
72795;1;1;3;1;5;1;0;5;4;45;15,14;3,47;122;;;;;;;;
3938;12;5;2;4;8;2;0;9;7;52;13;3,89;121;;;;;;;;
72798;11;7;3;1;1;1;0;3;1;33;10;46;78;;;;;;;;
3940;4;4;2;4;1;1;0;3;1;60;38,04;3,34;145;;;;;;;;
4227;10;15;2;1;4;1;1;5;2;78;19;2,27;102;;;;;;;;
72802;9;2;3;1;5;1;0;4;4;44;26,77;3,81;70;;;;;;;;
72803;6;19;3;4;4;1;0;4;3;35;17,18;3,84;100;;;;;;;;
4257;10;14;2;1;1;1;0;3;1;35;8;2,51;84;;;;;;;;
72805;9;9;3;1;3;1;0;4;2;30;9;2,91;70;;;;;;;;
72806;1;14;3;1;2;1;0;3;3;29;13,14;3,34;134;;;;;;;;
72807;7;6;3;1;1;1;0;2;1;37;13;3,75;48;;;;;;;;
72810;12;7;3;1;6;2;0;4;4;40;10;3,72;45;;;;;;;;
72812;19;2;1;1;4;1;2;5;4;330;20;17;60;;;;;;;;
72815;6;10;3;1;5;2;0;5;5;30;9;3,48;113;;;;;;;;
72816;6;11;3;1;4;1;1;5;4;55;15;5;54;;;;;;;;
72817;4;6;3;1;2;1;0;2;2;31;9;3,43;50;;;;;;;;
72821;11;7;3;4;1;1;0;3;1;51;12;3,55;74;;;;;;;;
4286;10;17;2;1;4;1;0;3;3;30;10;2,9;103;;;;;;;;
4365;4;14;2;1;5;1;1;5;3;58;11,74;3,49;102;;;;;;;;
72829;4;12;3;1;4;1;0;4;4;33;10;2,46;96;;;;;;;;
72830;28;11;3;1;3;1;0;4;2;48;13;3,11;75;;;;;;;;
4622;7;6;2;1;4;1;1;4;3;40;20;3,79;125;;;;;;;;
4668;9;2;2;1;6;2;1;5;6;34;11;3,57;161;;;;;;;;
72833;12;9;3;1;1;1;0;2;1;30;10;3,95;93;;;;;;;;
4696;8;9;2;1;2;1;0;3;4;30;4;8;118;;;;;;;;
72838;7;7;3;4;4;1;1;4;3;64;10,67;6;75;;;;;;;;
72841;28;6;3;1;6;2;0;4;5;35;10;35;72;;;;;;;;
72842;10;7;4;4;4;1;0;6;3;100;7,14;14;65;;;;;;;;
72844;3;5;3;1;4;1;0;3;4;45;31,92;3,16;81;;;;;;;;
72846;7;20;3;1;3;1;0;4;2;56;34,59;3,14;68;;;;;;;;
72847;8;2;3;1;5;2;0;4;3;33;28,79;3,9;83;;;;;;;;
4749;10;8;2;1;5;2;1;5;3;65;10,83;6;132;;;;;;;;
72851;5;8;3;1;4;1;0;5;2;43;7;6;144;;;;;;;;
72853;10;5;3;1;1;1;0;3;1;30;17,63;3,04;90;;;;;;;;
72855;10;5;3;1;4;1;0;4;2;38;26,93;3,3;60;;;;;;;;
72856;7;19;3;1;3;1;0;3;4;42;14,91;3,92;63;;;;;;;;
4754;2;6;2;1;5;1;0;4;3;56;14;3,57;240;;;;;;;;
72859;10;16;4;1;4;1;0;3;3;31;11;2,56;60;;;;;;;;
72860;5;8;3;1;5;2;1;6;5;70;14;5;192;;;;;;;;
72861;4;6;3;4;3;1;0;4;2;35;13,34;3,88;114;;;;;;;;
72864;8;9;3;1;5;2;0;3;5;36;11;3,51;100;;;;;;;;
72866;7;18;3;1;3;1;0;3;3;35;7;3,55;94;;;;;;;;
72867;4;6;3;4;3;1;0;4;3;40;9;3,61;68;;;;;;;;
72869;5;4;3;1;5;2;1;4;5;56;11;5;160;;;;;;;;
72871;10;12;4;4;4;1;0;4;4;53;10;3,32;69;;;;;;;;
72872;4;6;3;1;4;1;0;4;3;40;10;3,95;68;;;;;;;;
72873;6;6;3;4;6;1;0;4;4;37;19,06;3,71;110;;;;;;;;
72874;6;4;3;1;4;1;0;3;2;25;9,96;3,86;84;;;;;;;;
72878;3;3;3;4;6;2;1;5;5;52;28,29;3,78;103;;;;;;;;
72879;3;8;3;1;1;1;0;3;1;40;27,77;2,54;106;;;;;;;;
72882;7;9;3;1;6;1;0;3;5;22;6;3,52;100;;;;;;;;
72883;4;7;4;1;6;1;1;5;4;71;15;5;138;;;;;;;;
72887;4;1;3;1;4;1;0;3;3;34;8,1;3,18;92;;;;;;;;
72891;28;1;3;1;3;1;0;3;4;43;8,6;2,71;52;;;;;;;;
72895;6;11;3;1;3;1;1;5;4;55;11;5;36;;;;;;;;
72896;3;3;3;1;2;1;0;2;4;35;27,76;3,94;80;;;;;;;;
4779;10;13;2;1;1;1;1;1;1;260;38;7;129;;;;;;;;
72898;6;6;3;1;4;1;0;4;2;40;8;2,29;80;;;;;;;;
72900;7;3;3;1;1;1;0;3;1;35;12,02;3,88;82;;;;;;;;
72906;8;2;3;1;5;1;0;6;4;40;10;3,3;85;;;;;;;;
72907;12;5;3;1;3;1;1;4;4;50;12,5;3,02;99;;;;;;;;
72908;9;11;3;4;5;1;0;5;4;35;14,89;2,61;110;;;;;;;;
72909;12;7;3;1;5;1;1;5;5;80;20;2,95;66;;;;;;;;
72910;5;7;3;4;1;1;1;3;1;96;11,5;8,4;57;;;;;;;;
72913;5;4;3;1;6;1;1;5;6;66;48,94;2,88;85;;;;;;;;
4844;8;8;2;1;4;1;0;4;2;40;23,66;3,86;77;;;;;;;;
4988;4;6;2;4;3;1;0;5;3;61;19;3,76;129;;;;;;;;
72921;8;6;3;1;4;1;0;2;3;15;5;3,79;92;;;;;;;;
72922;9;3;3;1;5;1;0;5;4;42;10;42;85;;;;;;;;
72924;5;4;3;1;4;1;0;3;4;31;21,88;3,17;87;;;;;;;;
72927;5;8;3;1;4;1;0;3;4;37;14,4;2,34;68;;;;;;;;
72928;5;2;3;1;5;2;0;4;4;28;16,84;3,83;102;;;;;;;;
72929;9;11;3;1;5;2;0;3;5;36;24,64;3,68;106;;;;;;;;
72930;12;4;3;1;5;2;0;4;5;36;9;3,11;73;;;;;;;;
72931;8;1;3;1;4;1;0;4;4;40;10;3,18;55;;;;;;;;
72932;7;3;3;1;5;2;0;4;4;65;11;6;135;;;;;;;;
5041;6;8;2;1;2;1;1;3;3;40;10;3,69;155;;;;;;;;
