;Quận;Phường;Loại hình nhà ở;Giấy tờ pháp lý;Số tầng;Phòng Khách;Car room;Số phòng ngủ;WC;Diện tích; Dài ;    Rộng    ;Giá/m2;;;Quận Ba Đình;;Quận;;;
339;19;12;3;4;1;1;0;2;1;42;10;42;50;;8;phường Hàng Bông;;;;;
4189;9;6;2;1;2;1;1;3;2;35;10;3,72;91;;9;phường Hàng Buồm;;;;;
4209;8;5;2;1;5;1;1;3;5;30;3,53;8,5;116;;10;phường Hàng Đào;;;;;
344;6;17;3;1;3;1;0;4;3;31;8;3,52;69;;11;phường Hàng Gai;;;;;
345;7;14;3;1;4;1;0;3;3;25;11,9;2,58;120;;12;phường Hàng Mã;;;;;
346;1;5;3;1;3;1;0;2;2;20;16,36;3,65;62;;13;phường Lý Thái Tổ;;;;;
347;7;8;3;1;5;1;0;4;3;56;10;6;160;;14;phường Phan Chu Trinh;;;;;
348;12;10;3;1;4;1;0;3;4;31;7,5;3,52;66;;15;phường Phúc Tân;;;;;
349;6;12;3;1;4;1;1;4;2;63;10;6,3;87;;16;phường Tràng Tiền;;;;;
352;6;13;3;4;1;1;1;3;1;76;37,58;3,6;60;;17;phường Trần Hưng Đạo;;;;;
4294;9;5;2;1;6;2;0;4;4;40;10;3,58;90;;;;;;;;
357;7;13;3;4;5;1;0;4;5;36;22,6;3,62;91;;;;;;;;
358;8;2;3;1;4;1;1;4;4;50;28,12;3,82;73;;1;Phường Đại Kim;;;;;
360;10;14;3;4;2;1;0;3;4;30;10,65;2,66;79;;2;phường Định Công;;;;;
362;5;2;4;1;5;1;1;6;3;50;15;3,88;210;;3;phường Giáp Bát;;;;;
363;10;9;3;1;5;2;0;4;3;38;14,48;3,57;113;;4;phường Hoàng Liệt;;;;;
364;19;9;3;1;4;1;0;3;3;33;10;33;47;;5;phường Hoàng Văn Thụ;;;;;
365;4;7;3;1;6;2;0;4;5;40;13,74;3,83;100;;6;phường Lĩnh Nam;;;;;
366;10;14;3;4;3;1;0;4;3;33;21,36;3,73;72;;7;phường Mai Động;;;;;
369;1;6;1;1;6;1;1;5;6;80;16;5;161;;8;phường Tân Mai;;;;;
371;10;5;3;1;5;2;0;4;3;38;10;3,79;113;;9;phường Tương Mai;;;;;
4396;5;8;2;1;5;2;1;4;3;42;14,71;3,73;109;;10;phường Thanh Trì;;;;;
374;10;14;3;4;3;1;0;4;2;35;31;3,48;77;;11;phường Thịnh Liệt;;;;;
375;10;14;3;4;4;1;0;4;2;30;13,07;3,69;75;;12;phường Trần Phú;;;;;
4578;6;15;2;1;5;1;0;4;3;46;29,27;3,53;102;;13;phường Vĩnh Hưng;;;;;
377;5;3;3;1;5;2;0;3;4;40;8;3,16;102;;14;phường Yên Sở;;;;;
378;8;5;3;1;4;1;0;4;3;40;15,57;3,14;50;;;;;;;;
379;4;8;3;1;6;2;0;6;4;65;10,83;6;91;;;huyện Ba Vì;;;;;
4588;13;1;2;1;2;1;1;2;4;123;50;3,96;48;;1;xã Phú Sơn;;;;;
4672;6;9;2;1;4;1;0;6;4;65;25,14;3,94;120;;;;;;;;
383;1;13;3;4;2;1;0;3;4;35;6;6;111;;;huyện Chương Mỹ;;;;;
389;6;10;3;4;1;1;0;3;1;25;4;3,38;80;;1;thị trấn Chúc Sơn;;;;;
4719;10;8;2;1;2;1;0;2;3;36;6;6;138;;2;thị trấn Xuân Mai;;;;;
396;11;3;3;1;4;1;0;5;2;30;5,6;5,5;77;;3;xã Hoàng Văn Thụ;;;;;
397;6;3;3;1;5;2;0;3;4;39;21,67;2,38;120;;4;xã Phụng Châu;;;;;
399;5;3;3;1;5;2;0;3;3;44;9,5;3,13;79;;;;;;;;
402;7;3;3;1;4;1;0;3;4;35;12,29;2,64;75;;;huyện Đan Phượng;16;;;;
411;9;3;3;1;4;1;0;3;4;32;8;3,85;79;;1;thị trấn Phùng;;;;;
415;6;17;3;1;5;1;0;3;4;34;8;3,81;111;;2;xã Đan Phượng;;;;;
416;9;4;3;1;5;1;1;4;5;49;12,25;3,85;75;;3;xã Phương Đình;;;;;
423;9;4;4;4;5;1;0;6;5;45;10;3,4;103;;4;xã Tân Lập;;;;;
425;6;16;3;1;3;1;0;4;2;40;10;3,81;70;;5;xã Thượng Mỗ;;;;;
426;8;3;3;4;2;1;0;1;4;42;14,44;3,1;71;;;;;;;;
4752;9;9;2;1;10;2;1;8;10;65;13;5;315;;;huyện Đông Anh;17;;;;
