;Quận;Phường;Loại hình nhà ở;Giấy tờ pháp lý;Số tầng;Phòng Khách;Car room;Số phòng ngủ;WC;Diện tích; Dài ;    Rộng    ;Giá/m2
591;10;16;3;1;3;1;0;3;4;35;10;3,21;45,71
596;8;6;3;1;4;1;0;3;2;30;9;3,69;75
597;4;6;3;1;5;1;0;3;4;30;14,11;3,96;73,33
602;7;20;3;1;2;1;0;3;4;31;8;3,66;108,06
604;5;7;2;1;7;2;0;4;7;50;10;3,72;240
607;6;4;3;1;4;1;0;2;2;25;10,9;3,05;78
609;5;7;3;1;4;1;1;5;3;56;11;5,3;77,68
610;10;15;3;1;4;1;1;6;3;60;15;3,43;75
612;9;6;3;4;2;1;0;3;2;40;22,49;3,47;65
615;8;5;2;1;6;1;1;5;4;42;10;3,21;142,86
617;10;6;4;1;5;1;1;5;4;50;24,73;3,64;121
629;5;5;3;4;2;1;0;3;4;25;5;3,98;180
632;7;3;3;1;4;1;0;3;3;26;12,73;3,03;100
638;10;5;3;1;5;1;0;4;3;35;10;3,48;60
642;6;9;2;1;2;1;1;3;4;30;6;3,77;71,67
643;5;8;3;1;1;1;1;1;1;55;13;3,95;72,73
649;8;8;2;1;5;1;0;4;4;35;7;3,58;88,57
652;10;14;3;1;5;2;0;4;3;35;8;3,89;62,86
653;9;3;3;1;4;1;0;3;2;35;24,73;3,56;82,86
661;9;9;2;4;1;1;1;1;1;75;28,85;3,26;78,67
662;4;8;3;1;5;2;0;3;4;37;13,07;2,83;78,38
664;5;4;3;1;6;2;0;4;5;38;10;3,72;92,11
666;1;6;3;1;5;2;0;5;5;60;12;5;166,67
668;6;7;3;1;5;1;0;5;4;62;21,04;3,79;114,52
669;1;11;3;1;4;1;0;3;2;50;6,25;8;140
670;9;2;3;1;5;2;0;4;3;40;8;3,22;112,5
672;9;3;3;1;5;1;1;5;4;50;18;3,46;64
673;12;9;3;4;6;1;0;4;5;38;9,5;3,56;81,58
675;6;6;3;1;5;1;0;3;4;35;9;2,86;140
676;1;14;3;1;4;1;0;4;2;34;10,6;3,84;94,12
677;7;18;3;1;4;1;0;3;2;34;21,67;3,3;71,18
684;7;6;3;1;5;1;0;4;3;25;8;2,36;118
687;7;18;3;1;4;1;0;4;2;45;9;2,39;103,33
688;5;2;3;4;4;1;0;4;2;41;11;3,67;96,34
691;10;17;3;1;4;1;0;3;2;30;10,01;3,57;98,33
692;5;2;3;4;1;1;0;2;1;50;10;3,88;60
693;10;14;3;1;4;1;0;3;4;33;19,59;3,49;72,73
694;4;12;4;4;5;2;0;4;5;108;18;6;83,33
695;1;11;3;4;2;1;0;3;3;26;8,96;3,49;113,46
698;10;7;3;4;2;1;0;2;4;41;6;2,77;60,98
707;10;16;3;1;4;1;0;3;4;30;9;35;53
710;6;7;3;1;5;1;0;3;4;32;6;5,3;100
726;6;17;3;1;3;1;0;2;4;35;8;3,23;88,57
727;5;6;3;1;3;1;0;5;3;45;7;6,2;122,22
731;10;4;3;1;3;1;0;4;4;47;10;3,7;78,72
734;9;6;3;1;4;1;0;4;2;38;9;2,77;107,89
740;10;15;3;1;5;1;0;6;3;52;10;3,78;103,85
746;1;7;3;1;3;1;0;2;4;21;6;3,46;78,57
747;9;6;2;4;4;1;0;4;2;45;15,61;3,98;155,33
